行 233: 控件 MediaPlayer1 的类 MediaPlayerCtl.MediaPlayer 不是一个已加载的控件类。
行 240: 属性名 AudioStream 在 MediaPlayer1 中是无效的。
行 242: 属性名 AutoStart 在 MediaPlayer1 中是无效的。
行 243: 属性名 AnimationAtStart 在 MediaPlayer1 中是无效的。
行 244: 属性名 AllowScan 在 MediaPlayer1 中是无效的。
行 245: 属性名 AllowChangeDisplaySize 在 MediaPlayer1 中是无效的。
行 246: 属性名 AutoRewind 在 MediaPlayer1 中是无效的。
行 247: 属性名 Balance 在 MediaPlayer1 中是无效的。
行 248: 属性名 BaseURL 在 MediaPlayer1 中是无效的。
行 249: 属性名 BufferingTime 在 MediaPlayer1 中是无效的。
行 250: 属性名 CaptioningID 在 MediaPlayer1 中是无效的。
行 251: 属性名 ClickToPlay 在 MediaPlayer1 中是无效的。
行 252: 属性名 CursorType 在 MediaPlayer1 中是无效的。
行 253: 属性名 CurrentPosition 在 MediaPlayer1 中是无效的。
行 254: 属性名 CurrentMarker 在 MediaPlayer1 中是无效的。
行 255: 属性名 DefaultFrame 在 MediaPlayer1 中是无效的。
行 256: 属性名 DisplayBackColor 在 MediaPlayer1 中是无效的。
行 257: 属性名 DisplayForeColor 在 MediaPlayer1 中是无效的。
行 258: 属性名 DisplayMode 在 MediaPlayer1 中是无效的。
行 259: 属性名 DisplaySize 在 MediaPlayer1 中是无效的。
行 261: 属性名 EnableContextMenu 在 MediaPlayer1 中是无效的。
行 262: 属性名 EnablePositionControls 在 MediaPlayer1 中是无效的。
行 263: 属性名 EnableFullScreenControls 在 MediaPlayer1 中是无效的。
行 264: 属性名 EnableTracker 在 MediaPlayer1 中是无效的。
行 265: 属性名 Filename 在 MediaPlayer1 中是无效的。
行 266: 属性名 InvokeURLs 在 MediaPlayer1 中是无效的。
行 267: 属性名 Language 在 MediaPlayer1 中是无效的。
行 268: 属性名 Mute 在 MediaPlayer1 中是无效的。
行 269: 属性名 PlayCount 在 MediaPlayer1 中是无效的。
行 270: 属性名 PreviewMode 在 MediaPlayer1 中是无效的。
行 271: 属性名 Rate 在 MediaPlayer1 中是无效的。
行 272: 属性名 SAMILang 在 MediaPlayer1 中是无效的。
行 273: 属性名 SAMIStyle 在 MediaPlayer1 中是无效的。
行 274: 属性名 SAMIFileName 在 MediaPlayer1 中是无效的。
行 275: 属性名 SelectionStart 在 MediaPlayer1 中是无效的。
行 276: 属性名 SelectionEnd 在 MediaPlayer1 中是无效的。
行 277: 属性名 SendOpenStateChangeEvents 在 MediaPlayer1 中是无效的。
行 278: 属性名 SendWarningEvents 在 MediaPlayer1 中是无效的。
行 279: 属性名 SendErrorEvents 在 MediaPlayer1 中是无效的。
行 280: 属性名 SendKeyboardEvents 在 MediaPlayer1 中是无效的。
行 281: 属性名 SendMouseClickEvents 在 MediaPlayer1 中是无效的。
行 282: 属性名 SendMouseMoveEvents 在 MediaPlayer1 中是无效的。
行 283: 属性名 SendPlayStateChangeEvents 在 MediaPlayer1 中是无效的。
行 284: 属性名 ShowCaptioning 在 MediaPlayer1 中是无效的。
行 285: 属性名 ShowControls 在 MediaPlayer1 中是无效的。
行 286: 属性名 ShowAudioControls 在 MediaPlayer1 中是无效的。
行 287: 属性名 ShowDisplay 在 MediaPlayer1 中是无效的。
行 288: 属性名 ShowGotoBar 在 MediaPlayer1 中是无效的。
行 289: 属性名 ShowPositionControls 在 MediaPlayer1 中是无效的。
行 290: 属性名 ShowStatusBar 在 MediaPlayer1 中是无效的。
行 291: 属性名 ShowTracker 在 MediaPlayer1 中是无效的。
行 292: 属性名 TransparentAtStart 在 MediaPlayer1 中是无效的。
行 293: 属性名 VideoBorderWidth 在 MediaPlayer1 中是无效的。
行 294: 属性名 VideoBorderColor 在 MediaPlayer1 中是无效的。
行 295: 属性名 VideoBorder3D 在 MediaPlayer1 中是无效的。
行 296: 属性名 Volume 在 MediaPlayer1 中是无效的。
行 297: 属性名 WindowlessVideo 在 MediaPlayer1 中是无效的。
行 240: 属性名 AudioStream 在 MediaPlayer1 中是无效的。
行 242: 属性名 AutoStart 在 MediaPlayer1 中是无效的。
行 243: 属性名 AnimationAtStart 在 MediaPlayer1 中是无效的。
行 244: 属性名 AllowScan 在 MediaPlayer1 中是无效的。
行 245: 属性名 AllowChangeDisplaySize 在 MediaPlayer1 中是无效的。
行 246: 属性名 AutoRewind 在 MediaPlayer1 中是无效的。
行 247: 属性名 Balance 在 MediaPlayer1 中是无效的。
行 248: 属性名 BaseURL 在 MediaPlayer1 中是无效的。
行 249: 属性名 BufferingTime 在 MediaPlayer1 中是无效的。
行 250: 属性名 CaptioningID 在 MediaPlayer1 中是无效的。
行 251: 属性名 ClickToPlay 在 MediaPlayer1 中是无效的。
行 252: 属性名 CursorType 在 MediaPlayer1 中是无效的。
行 253: 属性名 CurrentPosition 在 MediaPlayer1 中是无效的。
行 254: 属性名 CurrentMarker 在 MediaPlayer1 中是无效的。
行 255: 属性名 DefaultFrame 在 MediaPlayer1 中是无效的。
行 256: 属性名 DisplayBackColor 在 MediaPlayer1 中是无效的。
行 257: 属性名 DisplayForeColor 在 MediaPlayer1 中是无效的。
行 258: 属性名 DisplayMode 在 MediaPlayer1 中是无效的。
行 259: 属性名 DisplaySize 在 MediaPlayer1 中是无效的。
行 261: 属性名 EnableContextMenu 在 MediaPlayer1 中是无效的。
行 262: 属性名 EnablePositionControls 在 MediaPlayer1 中是无效的。
行 263: 属性名 EnableFullScreenControls 在 MediaPlayer1 中是无效的。
行 264: 属性名 EnableTracker 在 MediaPlayer1 中是无效的。
行 265: 属性名 Filename 在 MediaPlayer1 中是无效的。
行 266: 属性名 InvokeURLs 在 MediaPlayer1 中是无效的。
行 267: 属性名 Language 在 MediaPlayer1 中是无效的。
行 268: 属性名 Mute 在 MediaPlayer1 中是无效的。
行 269: 属性名 PlayCount 在 MediaPlayer1 中是无效的。
行 270: 属性名 PreviewMode 在 MediaPlayer1 中是无效的。
行 271: 属性名 Rate 在 MediaPlayer1 中是无效的。
行 272: 属性名 SAMILang 在 MediaPlayer1 中是无效的。
行 273: 属性名 SAMIStyle 在 MediaPlayer1 中是无效的。
行 274: 属性名 SAMIFileName 在 MediaPlayer1 中是无效的。
行 275: 属性名 SelectionStart 在 MediaPlayer1 中是无效的。
行 276: 属性名 SelectionEnd 在 MediaPlayer1 中是无效的。
行 277: 属性名 SendOpenStateChangeEvents 在 MediaPlayer1 中是无效的。
行 278: 属性名 SendWarningEvents 在 MediaPlayer1 中是无效的。
行 279: 属性名 SendErrorEvents 在 MediaPlayer1 中是无效的。
行 280: 属性名 SendKeyboardEvents 在 MediaPlayer1 中是无效的。
行 281: 属性名 SendMouseClickEvents 在 MediaPlayer1 中是无效的。
行 282: 属性名 SendMouseMoveEvents 在 MediaPlayer1 中是无效的。
行 283: 属性名 SendPlayStateChangeEvents 在 MediaPlayer1 中是无效的。
行 284: 属性名 ShowCaptioning 在 MediaPlayer1 中是无效的。
行 285: 属性名 ShowControls 在 MediaPlayer1 中是无效的。
行 286: 属性名 ShowAudioControls 在 MediaPlayer1 中是无效的。
行 287: 属性名 ShowDisplay 在 MediaPlayer1 中是无效的。
行 288: 属性名 ShowGotoBar 在 MediaPlayer1 中是无效的。
行 289: 属性名 ShowPositionControls 在 MediaPlayer1 中是无效的。
行 290: 属性名 ShowStatusBar 在 MediaPlayer1 中是无效的。
行 291: 属性名 ShowTracker 在 MediaPlayer1 中是无效的。
行 292: 属性名 TransparentAtStart 在 MediaPlayer1 中是无效的。
行 293: 属性名 VideoBorderWidth 在 MediaPlayer1 中是无效的。
行 294: 属性名 VideoBorderColor 在 MediaPlayer1 中是无效的。
行 295: 属性名 VideoBorder3D 在 MediaPlayer1 中是无效的。
行 296: 属性名 Volume 在 MediaPlayer1 中是无效的。
行 297: 属性名 WindowlessVideo 在 MediaPlayer1 中是无效的。
